family,book,n,diff,lo,hi,how,z,verdict,dep,n_eff,sec
rate_daily,75,149019,0.0096994343003241,-0.0157034162271796,0.0337370654145171,day_block,0.7690273807109338,NULL,1,1648,4.3
rate_daily,76,146791,-0.0248066979583216,-0.0497308897401611,-0.0002383077484771,day_block,-1.964748372406736,NEGATIVE,1,1626,4.2
rate_daily,77,152902,-0.0272579822369883,-0.0506554333080649,-0.0052344029319511,day_block,-2.352419725169068,NEGATIVE,1,1691,4.5
rate_daily,78,145482,-0.0123644162164391,-0.0361716183125679,0.0116558503764462,day_block,-1.0133846230839036,NULL,1,1612,4.1
rate_daily,79,148546,0.0068773309277934,-0.0163653583752591,0.0309060236475014,day_block,0.5702951958574712,NULL,1,1645,4.1
rate_daily,80,145948,0.0098583056979198,-0.013688961604481,0.0346822660085956,day_block,0.798901546327275,NULL,1,1617,4.0
rate_daily,81,145785,0.0103645779744143,-0.0139199463959687,0.0342431316841479,day_block,0.8435590296472952,NULL,1,1614,4.0
rate_daily,82,149646,0.0092792323216124,-0.01432054687431,0.0334021061301137,day_block,0.7621940589225373,NULL,1,1658,4.1
rate_daily,83,149079,-0.0056184975751111,-0.0292974140232039,0.0183092569010876,day_block,-0.4626264667326748,NULL,1,1651,4.3
rate_daily,84,144609,0.0029555560165688,-0.0207334538608472,0.028540615476693,day_block,0.2351250250015368,NULL,1,1603,4.1
rate_daily,85,145507,-0.0035379741180835,-0.0263184985016808,0.0199153231287391,day_block,-0.2999666330768172,NULL,1,1610,4.2
rate_daily,86,146785,0.0049528221548523,-0.0190716513262481,0.0284480760889556,day_block,0.4085609766695437,NULL,1,1627,4.3
rate_daily,87,147829,-0.008473303614311,-0.0331762072979245,0.0154029616048929,day_block,-0.6837239261273755,NULL,1,1635,4.3
rate_daily,88,150173,-0.001546216696743,-0.0253905754488096,0.0226064964416676,day_block,-0.1262797475950419,NULL,1,1664,4.2
rate_daily,89,146490,0.0130589118711175,-0.0108349221496763,0.0370264706035104,day_block,1.0695466919883452,NULL,1,1621,4.1
rate_daily,90,150000,-0.0005266666666666,-0.0235018545694354,0.0237750489969095,day_block,-0.0436681605096236,NULL,1,1661,4.2
rate_daily,91,142755,0.0038107246681376,-0.0199386355376804,0.0288774509343522,day_block,0.306000898607095,NULL,1,1581,3.6
rate_daily,92,148139,0.0092372704014473,-0.0137837941198349,0.0332162576571666,day_block,0.7704126595861103,NULL,1,1640,3.9
rate_daily,93,151398,-0.0116857554260953,-0.0337083520364465,0.0125075260860718,day_block,-0.991159786566594,NULL,1,1675,3.9
rate_daily,94,145725,0.0109658603534053,-0.0127613858429484,0.0347108707327325,day_block,0.9054843006014606,NULL,1,1611,3.8
rate_daily,95,145299,-0.0105685517450223,-0.0354514811683872,0.0140052092982815,day_block,-0.8376614268737264,NULL,1,1608,3.8
rate_daily,96,147000,-0.0243673469387754,-0.0475722517887758,-0.0009510643950266,day_block,-2.0488162333640325,NEGATIVE,1,1627,3.8
rate_daily,97,147431,0.0083401726909537,-0.0146706711698008,0.0316813699485117,day_block,0.7053168677654806,NULL,1,1630,3.8
rate_daily,98,149625,-6.015037593976036e-05,-0.0231281388037919,0.0233053040792252,day_block,-0.0050779164373148,NULL,1,1654,3.9
rate_daily,99,147798,0.0074750673216146,-0.0164012751601498,0.0311992442805895,day_block,0.6155757550579212,NULL,1,1635,3.9
setups120,50,125374,0.0062882585969447,-0.0380486814609604,0.0499279253699607,day_block,0.2801826739325998,NULL,1,983,9.0
setups120,51,126193,0.0110551900660101,-0.0313674454032244,0.0547559330338564,day_block,0.5031798551276588,NULL,1,982,9.0
setups120,52,126997,0.0298673816441858,-0.0119932634045777,0.0731415534204391,day_block,1.3752068772799295,NULL,1,995,9.1
setups120,53,124108,-0.0077333284988341,-0.0508495133364025,0.03469077119465,day_block,-0.3543837980194391,NULL,1,962,8.7
setups120,54,124579,0.0101211333103226,-0.0369226664408922,0.0539422379811509,day_block,0.4366274757808673,NULL,1,965,8.6
setups120,55,123071,0.0230319094939778,-0.0181142835081653,0.0670415619269268,day_block,1.0602140869792165,NULL,1,952,8.4
setups120,56,124088,0.003113465175252,-0.0410928858489966,0.0458291560346114,day_block,0.1404081065403175,NULL,1,961,8.7
setups120,57,124197,0.0083263841585009,-0.0330873607754101,0.0524637522333741,day_block,0.3815125864968327,NULL,1,966,8.5
setups120,58,124444,0.0152368620959361,-0.0295813300924624,0.0603506129848532,day_block,0.6641400187545199,NULL,1,969,8.2
setups120,59,125110,0.0252681778701411,-0.0192390927486242,0.0697314893455272,day_block,1.1132830156975857,NULL,1,969,8.1
setups120,60,125142,-0.0081266166967656,-0.0518692525657428,0.0359118987854538,day_block,-0.3628996868299216,NULL,1,971,7.9
